canonical_drug_id,drug_name,target,in_2b,in_2c,rank_2b,rank_2c,prediction_score,prism_validated,clinical_trials_validated,cosmic_validated,cptac_validated,n_clinical_trials,n_cosmic_records,target_expression,validation_score,multi_objective_score,confidence,final_rank,SMILES,herg,herg_smiles,dili,dili_smiles,ames,ames_smiles,cyp3a4,cyp3a4_smiles,bioavailability,bioavailability_smiles,half_life,half_life_smiles,lipinski_violations,pains_count,tier1_herg_fail,tier1_pains_fail,tier1_lipinski_fail,tier1_fail,tier2_herg_warn,tier2_dili_warn,tier2_ames_warn,tier2_cyp3a4_warn,tier2_warn_count,tier3_bioavailability,tier3_half_life,admet_status
1080,Paclitaxel,Microtubule stabiliser,True,True,4.0,1.0,0.625,True,True,True,False,489,735,0.0,0.75,0.675,75,1,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1808,Topotecan,TOP1,True,True,3.0,5.0,0.2666666666666666,True,True,True,True,63,13,67.6323882882883,1.0,0.5394299054954954,100,2,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,,,,,,,,,1.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,,,0.0,0.0,False,False,False,False,False,False,False,False,0,1.0,,PASS
1819,Docetaxel,Microtubule stabiliser,True,True,5.0,6.0,0.1833333333333333,True,True,True,False,423,311,0.0,0.75,0.4983333333333333,75,3,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1811,Dactinomycin,RNA polymerase,True,True,1.0,2.0,0.75,True,False,True,False,0,4,0.0,0.5,0.45,50,4,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2048,Vinorelbine,Microtubule destabiliser,False,True,,19.0,0.0526315789473684,True,True,True,False,65,106,0.0,0.75,0.3760526315789473,75,5,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,,,,,,,,,1.0,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,,,2.0,0.0,False,False,False,False,False,False,False,False,0,1.0,,PASS
1054,Palbociclib,"CDK4, CDK6",True,True,19.0,8.0,0.0888157894736842,True,True,True,True,17,308,11.339893561451358,1.0,0.3706603051456188,100,6,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1016,Temsirolimus,MTOR,True,False,10.0,,0.1,True,True,True,True,12,31,24.599720625671548,1.0,0.3664599720625671,100,7,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1593,Entinostat,"HDAC1, HDAC3",True,True,30.0,18.0,0.0444444444444444,True,True,True,True,13,15,56.78869265228531,1.0,0.3494566470430063,100,8,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1039,SL0101,"RSK, AURKB, PIM1, PIM3",True,True,2.0,3.0,0.4166666666666666,False,False,False,True,0,0,1303.9683172755322,0.25,0.3416666666666667,25,9,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1051,Alisertib,AURKA,True,True,23.0,21.0,0.0455486542443064,True,True,True,True,7,22,63.56599621043062,1.0,0.3385760613187656,100,10,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",True,False,29.0,,0.0344827586206896,True,True,True,True,3,3,163.12645067980827,1.0,0.3361057485162566,100,11,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",False,True,,23.0,0.0434782608695652,True,True,True,True,3,16,29.794787156789823,1.0,0.3263707830635051,100,12,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1598,LGK974,PORCN,True,False,17.0,,0.0588235294117647,True,True,False,True,1,0,590.806954768989,0.75,0.3096101072416047,75,13,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1626,OTX015,"BRD2, BRD3, BRD4",False,True,,7.0,0.1428571428571428,True,True,False,True,2,0,115.37721997272502,0.75,0.2976805791401296,75,15,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1084,Rapamycin,MTORC1,True,True,25.0,20.0,0.045,True,True,True,False,13,7,0.0,0.75,0.2689999999999999,75,16,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1908,Ulixertinib,"ERK1, ERK2",False,True,,15.0,0.0666666666666666,True,True,True,False,3,10,0.0,0.75,0.2576666666666666,75,17,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1004,Vinblastine,Microtubule destabiliser,True,False,14.0,,0.0714285714285714,True,True,True,False,1,8,0.0,0.75,0.2555714285714285,75,18,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1613,VE-822,ATR,False,True,,28.0,0.0357142857142857,True,True,False,True,7,0,7.224825130176047,0.75,0.2540081967987319,75,19,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1026,Tanespimycin,HSP90,True,False,16.0,,0.0625,True,True,True,False,1,7,0.0,0.75,0.2519999999999999,75,20,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1096,Tozasertib,"AURKA, AURKB, AURKC, others",False,True,,24.0,0.0416666666666666,True,False,True,True,0,7,70.07648774967629,0.75,0.2486743154416342,75,21,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1917,AZD6738,ATR,False,True,,26.0,0.0384615384615384,True,True,False,True,2,0,7.224825130176047,0.75,0.2451070978976329,75,22,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1237,EPZ004777,DOT1L,False,True,,22.0,0.0454545454545454,True,False,False,True,0,0,768.5576673237456,0.5,0.2450375849141927,50,23,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1940,WIKI4,"TNKS1, TNKS2",False,True,,25.0,0.04,True,False,False,True,0,0,732.794664621043,0.5,0.2392794664621043,50,24,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1581,Bromosporine,"CECR2, BRD2, BRD4, BRD9",True,False,13.0,,0.0769230769230769,True,False,False,True,0,0,280.96505397036947,0.5,0.2088657361662677,50,25,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1706,AZD5153,BRD4,True,False,12.0,,0.0833333333333333,False,False,True,True,0,2,214.6536173733366,0.5,0.2047986950706669,50,26,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1810,Mitoxantrone,TOP2,True,True,8.0,14.0,0.0982142857142857,True,False,True,False,0,56,0.0,0.5,0.1892857142857142,50,27,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1809,Teniposide,,True,True,11.0,11.0,0.0909090909090909,True,False,True,False,0,2,0.0,0.5,0.1863636363636363,50,28,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,,,,,,,,,1.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,,,2.0,0.0,False,False,False,False,False,False,False,False,0,1.0,,PASS
1802,Zoledronate, ,False,True,,12.0,0.0833333333333333,False,True,False,False,12,0,0.0,0.25,0.1323333333333333,25,29,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1072,Avagacestat,"Amyloid beta20, Amyloid beta40",False,True,,13.0,0.0769230769230769,True,False,False,False,0,0,0.0,0.25,0.1057692307692307,25,30,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",True,True,20.0,10.0,0.075,False,False,False,True,0,0,6.381121948094883,0.25,0.1056381121948095,25,31,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2172,JQ1,"BRD2, BRD3, BRD4, BRDT",True,False,21.0,,0.0476190476190476,False,False,False,True,0,0,88.32912325608609,0.25,0.1028805313732276,25,32,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1843,LMP744,TOP1,True,True,28.0,29.0,0.0350985221674876,False,False,False,True,0,0,67.6323882882883,0.25,0.0958026476958239,25,33,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1617,AZD5582,"XIAP, cIAP",True,False,22.0,,0.0454545454545454,False,False,False,True,0,0,5.098034821059592,0.25,0.0936916216639241,25,34,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1091,BMS-536924,"IGF1R, IR",False,True,,27.0,0.037037037037037,False,False,False,True,0,0,33.32406804281346,0.25,0.0931472216190961,25,35,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2002,N30652-18-1,,False,True,,17.0,0.0588235294117647,False,False,False,False,0,0,0.0,0.0,0.0235294117647058,0,36,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1830,Gallibiscoquinazole,,True,False,18.0,,0.0555555555555555,False,False,False,False,0,0,0.0,0.0,0.0222222222222222,0,37,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2011,ICL-SIRT078,SIR2,True,True,15.0,30.0,0.05,False,False,False,False,0,0,0.0,0.0,0.02,0,38,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2110,GSK591,PMRT5,True,False,24.0,,0.0416666666666666,False,False,False,False,0,0,0.0,0.0,0.0166666666666666,0,39,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
1720,AZD5991,MCL1,True,False,26.0,,0.0384615384615384,False,False,False,False,0,0,0.0,0.0,0.0153846153846153,0,40,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
2148,POMHEX,,True,False,27.0,,0.037037037037037,False,False,False,False,0,0,0.0,0.0,0.0148148148148148,0,41,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,,,PASS
