gdsc_name,normalized,stage,depmap_stripped,depmap_model_id,has_crispr,n_drugs_measured
C2BBe1,c2bbe1,strict,C2BBE1,ACH-000009,False,280
CCK-81,cck81,strict,CCK81,ACH-000963,False,281
CL-11,cl11,strict,CL11,ACH-000249,False,280
COLO-205,colo205,strict,COLO205,ACH-001039,False,280
COLO-320-HSR,colo320hsr,strict,COLO320HSR,ACH-002219,False,281
COLO-678,colo678,strict,COLO678,ACH-000350,False,280
CW-2,cw2,strict,CW2,ACH-000998,False,281
CaR-1,car1,strict,CAR1,ACH-002345,False,281
DiFi,difi,strict,DIFI,ACH-002233,True,280
GP5d,gp5d,strict,GP5D,ACH-001345,False,279
HCC2998,hcc2998,strict,HCC2998,ACH-001081,True,280
HCT-116,hct116,strict,HCT116,ACH-000971,False,281
HCT-15,hct15,strict,HCT15,ACH-000997,False,282
HT-115,ht115,strict,HT115,ACH-000986,True,256
HT-29,ht29,strict,HT29,ACH-000552,False,295
HT55,ht55,strict,HT55,ACH-000926,False,280
KM12,km12,strict,KM12,ACH-000969,True,280
LS-1034,ls1034,strict,LS1034,ACH-000252,True,281
LS-123,ls123,strict,LS123,ACH-000501,True,281
LS-180,ls180,strict,LS180,ACH-000957,False,281
LS-411N,ls411n,strict,LS411N,ACH-000985,True,280
LS-513,ls513,strict,LS513,ACH-000007,True,222
LoVo,lovo,strict,LOVO,ACH-000950,False,281
MDST8,mdst8,strict,MDST8,ACH-000935,True,270
NCI-H508,ncih508,strict,NCIH508,ACH-000360,False,181
NCI-H716,ncih716,strict,NCIH716,ACH-000491,False,280
NCI-H747,ncih747,strict,NCIH747,ACH-000403,False,280
RCM-1,rcm1,strict,RCM1,ACH-000565,False,281
RKO,rko,strict,RKO,ACH-000943,True,280
SK-CO-1,skco1,strict,SKCO1,ACH-000400,False,281
SNU-1040,snu1040,strict,SNU1040,ACH-000999,False,148
SNU-175,snu175,strict,SNU175,ACH-000989,False,280
SNU-407,snu407,strict,SNU407,ACH-000955,False,271
SNU-61,snu61,strict,SNU61,ACH-000532,False,256
SNU-81,snu81,strict,SNU81,ACH-000991,False,256
SNU-C1,snuc1,strict,SNUC1,ACH-000722,False,281
SNU-C2B,snuc2b,strict,SNUC2B,ACH-001199,False,282
SNU-C5,snuc5,strict,SNUC5,ACH-000970,False,280
SW1116,sw1116,strict,SW1116,ACH-000489,True,281
SW1417,sw1417,strict,SW1417,ACH-000236,False,281
SW1463,sw1463,strict,SW1463,ACH-000470,True,281
SW48,sw48,strict,SW48,ACH-000958,True,269
SW620,sw620,strict,SW620,ACH-000651,False,295
SW837,sw837,strict,SW837,ACH-000421,True,281
SW948,sw948,strict,SW948,ACH-000680,False,279
T84,t84,strict,T84,ACH-000381,True,281
